DEBUG | 2021-09-18T20:34:14,875 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.getAllEntities() and returning [PersistentExampleEntity{id=1, name=entity_01}, PersistentExampleEntity{id=2, name=entity_02}, PersistentExampleEntity{id=3, name=entity_03}, PersistentExampleEntity{id=4, name=entity_04}, PersistentExampleEntity{id=5, name=entity_05}, PersistentExampleEntity{id=6, name=entity_06}, PersistentExampleEntity{id=7, name=entity_07}, PersistentExampleEntity{id=8, name=entity_08}, PersistentExampleEntity{id=9, name=entity_09}, PersistentExampleEntity{id=10, name=entity_10}, PersistentExampleEntity{id=11, name=entity_11}, PersistentExampleEntity{id=12, name=entity_12}, PersistentExampleEntity{id=13, name=entity_13}, PersistentExampleEntity{id=14, name=entity_14}, PersistentExampleEntity{id=15, name=entity_15}, PersistentExampleEntity{id=16, name=entity_16}, PersistentExampleEntity{id=17, name=entity_17}, PersistentExampleEntity{id=18, name=entity_18}, PersistentExampleEntity{id=19, name=entity_19}, PersistentExampleEntity{id=20, name=entity_20}, PersistentExampleEntity{id=21, name=entity_21}, PersistentExampleEntity{id=22, name=entity_22}, PersistentExampleEntity{id=23, name=entity_23}, PersistentExampleEntity{id=24, name=entity_24}, PersistentExampleEntity{id=25, name=entity_25}, PersistentExampleEntity{id=26, name=entity_26}, PersistentExampleEntity{id=27, name=entity_27}, PersistentExampleEntity{id=28, name=entity_28}, PersistentExampleEntity{id=29, name=entity_29}, PersistentExampleEntity{id=30, name=entity_30}, PersistentExampleEntity{id=31, name=Saurabh}, PersistentExampleEntity{id=32, name=Saurabh}, PersistentExampleEntity{id=33, name=Saurabh}, PersistentExampleEntity{id=34, name=Saurabh Pareek}, PersistentExampleEntity{id=35, name=Saurabh Pareek}, PersistentExampleEntity{id=36, name=Saurabh Pareek}, PersistentExampleEntity{id=37, name=Saurabh Pareek}, PersistentExampleEntity{id=38, name=Saurabh Pareek}, PersistentExampleEntity{id=39, name=Saurabh Pareek}]
DEBUG | 2021-09-18T20:34:14,876 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityReportService.getReport(..) with arguments [[PersistentExampleEntity{id=1, name=entity_01}, PersistentExampleEntity{id=2, name=entity_02}, PersistentExampleEntity{id=3, name=entity_03}, PersistentExampleEntity{id=4, name=entity_04}, PersistentExampleEntity{id=5, name=entity_05}, PersistentExampleEntity{id=6, name=entity_06}, PersistentExampleEntity{id=7, name=entity_07}, PersistentExampleEntity{id=8, name=entity_08}, PersistentExampleEntity{id=9, name=entity_09}, PersistentExampleEntity{id=10, name=entity_10}, PersistentExampleEntity{id=11, name=entity_11}, PersistentExampleEntity{id=12, name=entity_12}, PersistentExampleEntity{id=13, name=entity_13}, PersistentExampleEntity{id=14, name=entity_14}, PersistentExampleEntity{id=15, name=entity_15}, PersistentExampleEntity{id=16, name=entity_16}, PersistentExampleEntity{id=17, name=entity_17}, PersistentExampleEntity{id=18, name=entity_18}, PersistentExampleEntity{id=19, name=entity_19}, PersistentExampleEntity{id=20, name=entity_20}, PersistentExampleEntity{id=21, name=entity_21}, PersistentExampleEntity{id=22, name=entity_22}, PersistentExampleEntity{id=23, name=entity_23}, PersistentExampleEntity{id=24, name=entity_24}, PersistentExampleEntity{id=25, name=entity_25}, PersistentExampleEntity{id=26, name=entity_26}, PersistentExampleEntity{id=27, name=entity_27}, PersistentExampleEntity{id=28, name=entity_28}, PersistentExampleEntity{id=29, name=entity_29}, PersistentExampleEntity{id=30, name=entity_30}, PersistentExampleEntity{id=31, name=Saurabh}, PersistentExampleEntity{id=32, name=Saurabh}, PersistentExampleEntity{id=33, name=Saurabh}, PersistentExampleEntity{id=34, name=Saurabh Pareek}, PersistentExampleEntity{id=35, name=Saurabh Pareek}, PersistentExampleEntity{id=36, name=Saurabh Pareek}, PersistentExampleEntity{id=37, name=Saurabh Pareek}, PersistentExampleEntity{id=38, name=Saurabh Pareek}, PersistentExampleEntity{id=39, name=Saurabh Pareek}], org.apache.catalina.connector.CoyoteOutputStream@5ac27110]
DEBUG | 2021-09-18T20:34:14,942 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityReportService.getReport(..) and returning null
DEBUG | 2021-09-18T20:34:14,942 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ReportController.getPdfReport(..) and returning null
DEBUG | 2021-09-18T20:34:28,632 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:34:28,632 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:34:28,640 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:34:28,641 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:35:15,224 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:35:15,225 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
